sentence,word_labels
"Mount Everest, towering at an awe-inspiring height of 29,032 feet (8,848 meters), is the highest peak on Earth.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Nestled in the majestic Himalayan range, straddling the border between Nepal and Tibet, this colossal mountain has captured the imagination of adventurers and climbers for centuries.","O,O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Scaling its formidable slopes is a monumental feat, as climbers navigate treacherous icefalls, precarious crevasses, and the daunting South Col.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The summit of Mount Everest provides an unparalleled panoramic view, showcasing the breathtaking beauty of the surrounding peaks and the vast expanse of the Tibetan Plateau.","O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Rocky Mountains, often referred to as the Rockies, form a grand geological backbone stretching across the western part of North America.","O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"This expansive mountain range spans approximately 3,000 miles (4,800 kilometers) from British Columbia in Canada to New Mexico in the United States.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Characterized by rugged peaks, alpine meadows, and diverse ecosystems, the Rockies are a haven for nature enthusiasts and outdoor adventurers.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Iconic national parks, such as Yellowstone and Rocky Mountain National Park, are nestled within this majestic range, offering a haven for wildlife and a playground for those seeking the thrill of outdoor exploration.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Kongur Tagh, standing proudly in the Pamir Mountains, is one of the notable peaks in Central Asia.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Climbing K2, the second-highest peak in the world, is a daring adventure that attracts skilled mountaineers from around the globe.","O,B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Gonggar Mountain, located in the eastern Himalayas, offers a mesmerizing landscape for those seeking a peaceful retreat.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The rugged slopes of Kongur Tagh challenge even the most experienced climbers, requiring both skill and determination.","O,O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O"
"K2, also known as Mount Godwin-Austen, presents a formidable ascent with its steep and icy slopes.","B-MOUNTAIN,O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O"
Gonggar Mountain's serene beauty and remote location make it a hidden gem for nature enthusiasts and photographers.,"B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Elbrus, the highest peak in Europe, majestically rises in the Caucasus Mountains, offering breathtaking views of the surrounding landscapes.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mont Blanc, the highest peak in the Alps, attracts climbers and tourists alike with its stunning beauty and challenging ascent.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Nestled in the Pennine Alps, Monte Rosa stands tall as the second-highest peak in the Alps, offering a pristine alpine environment for exploration.","O,O,O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Climbing Mount Elbrus requires a combination of mountaineering skills and endurance, as adventurers navigate its snowy slopes and icy ridges.","O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The ascent of Mont Blanc poses challenges and rewards, with climbers treated to unparalleled views of the French and Italian Alps from its summit.","O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Exploring the glaciers and valleys of Monte Rosa is a captivating experience for those seeking the beauty of high-altitude alpine environments.,"O,O,O,O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Shkhara, the highest point in Georgia and the third-highest peak in the Caucasus Range, commands attention with its impressive elevation and snow-covered slopes.","B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Dykh-Tau, a prominent summit in the Caucasus Mountains, stands as the second-highest peak in Europe, attracting climbers seeking a challenging ascent.","B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Kazbek, steeped in Georgian mythology and culture, is a stratovolcano with a distinct cone shape, making it a symbol of the region.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Climbing Shkhara demands technical skill and mountaineering expertise, as the route involves navigating challenging terrain and unpredictable weather.","O,B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Dykh-Tau's towering presence and challenging routes make it a sought-after destination for experienced climbers and mountaineering enthusiasts.,"B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Kazbek's glaciers and alpine meadows contribute to the diverse ecosystem surrounding this iconic peak, offering a rich tapestry of natural beauty.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mulhacén, located in the Sierra Nevada range, proudly stands as the highest peak in mainland Spain.","B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Ben Nevis, towering over the Scottish Highlands, is the highest mountain in the British Isles and a popular destination for hikers and climbers.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Olympus, steeped in Greek mythology and considered the home of the gods, is the highest peak in Greece and an iconic symbol of ancient legend.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Climbing Mulhacén offers panoramic views of the Alpujarras and the surrounding Spanish countryside.,"O,B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O"
Ben Nevis's challenging terrain and unpredictable weather pose difficulties for climbers attempting to reach its summit.,"O,B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Olympus, with its towering peaks and rich biodiversity, has inspired countless myths and legends throughout the ages.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Hoverla, the highest peak in Ukraine, is a majestic part of the Carpathian mountain range, offering stunning views of the surrounding landscapes.","B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Pip Ivan, also known as Hoverla's neighbor, is a prominent peak in the Ukrainian Carpathians, attracting hikers and nature enthusiasts.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Brebeneskul, situated in the Chornohora range, is the third-highest peak in Ukraine, known for its alpine meadows and diverse flora.","B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Climbing Hoverla is a popular activity for adventurers seeking a challenging yet rewarding experience in the Ukrainian Carpathians.,"O,B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Pip Ivan's summit provides breathtaking views of the Carpathian landscape, making it a favorite destination for photographers and nature lovers.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Brebeneskul's diverse ecosystem and unique flora attract researchers and nature enthusiasts to explore its pristine mountain environment.,"B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Hutyn Tomnatyk, nestled in the Carpathian Mountains of Ukraine, is known for its scenic beauty and serene alpine environment.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Pikuy, a lesser-known gem in the Ukrainian Carpathians, offers a tranquil retreat for those seeking solitude in the mountains.","B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Hora Parashka, situated in the Maramureș region, is a prominent peak in the Eastern Carpathians, attracting hikers with its picturesque landscapes.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Climbing Hutyn Tomnatyk provides adventurers with breathtaking views of the Carpathian wilderness and the surrounding valleys.,"O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O"
Pikuy's unspoiled nature and diverse flora make it a haven for botanists and nature enthusiasts exploring the hidden treasures of the Carpathians.,"B-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Hora Parashka's trails wind through ancient forests and alpine meadows, providing a unique and immersive experience for nature lovers.","B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
I had been training to climb Mount Everest even though I didn't know it,"O,O,O,O,O,O,B-MOUNTAIN,I-MOUNTAIN,O,O,O,O,O,O"
"She started talking about how she had always wanted to climb the worlds highest mountain, Mount Everest.","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-MOUNTAIN,I-MOUNTAIN"
In my opinion there are a number of different mountains you should climb before even thinking about climbing Mount Everest.,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-MOUNTAIN,I-MOUNTAIN"
"Consider climbing Kilimanjaro, Mont Blanc, Elbrus, Mera and Island peaks, Cotopaxi and Chimborazo, Aconcagua and Denali.","O,O,B-MOUNTAIN,B-MOUNTAIN,I-MOUNTAIN,B-MOUNTAIN,B-MOUNTAIN,O,O,O,B-MOUNTAIN,O,B-MOUNTAIN,B-MOUNTAIN,O,B-MOUNTAIN"
We often receive requests to climb Everest from newcomers.,"O,O,O,O,O,O,B-MOUNTAIN,O,O"
